Open,High,Low,Close,Adj Close,Volume
0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,0.09931863099336624,469033600
0.12221000343561172,0.12221000343561172,0.12165199965238571,0.12165199965238571,0.09413716942071915,175884800
0.1132809966802597,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.08722769469022751,105728000
0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.08938663452863693,86441600
0.11886200308799744,0.11941999942064285,0.11886200308799744,0.11886200308799744,0.09197819232940674,73449600
0.12611599266529083,0.12667399644851685,0.12611599266529083,0.12611599266529083,0.09759149700403214,48630400
0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,0.10234121233224869,37363200
0.13783499598503113,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.10665999352931976,46950400
0.14508900046348572,0.14564700424671173,0.14508900046348572,0.14508900046348572,0.11227326095104218,48003200
0.15848200023174286,0.15904000401496887,0.15848200023174286,0.15848200023174286,0.12263708561658859,55574400
0.16071400046348572,0.16127200424671173,0.16071400046348572,0.16071400046348572,0.12436425685882568,93161600
0.15736599266529083,0.15736599266529083,0.156808003783226,0.156808003783226,0.12134167551994324,68880000
0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,0.11788732558488846,35750400
0.15401799976825714,0.15513400733470917,0.15401799976825714,0.15401799976825714,0.11918267607688904,21660800
0.15122799575328827,0.15122799575328827,0.15067000687122345,0.15067000687122345,0.1165919303894043,35728000
0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11140969395637512,45158400
0.13839299976825714,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.10665999352931976,55686400
0.13560299575328827,0.13560299575328827,0.13504500687122345,0.13504500687122345,0.10450094938278198,39827200
0.14229899644851685,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.11011429131031036,21504000
0.14229899644851685,0.14229899644851685,0.141183003783226,0.141183003783226,0.10925065726041794,23699200
0.1367190033197403,0.1367190033197403,0.13616099953651428,0.13616099953651428,0.105364590883255,23049600
0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,0.10579632222652435,14291200
0.13950900733470917,0.140625,0.13950900733470917,0.13950900733470917,0.10795526206493378,14067200
0.13895100355148315,0.13895100355148315,0.13839299976825714,0.13839299976825714,0.10709173232316971,13395200
0.14676299691200256,0.14732100069522858,0.14676299691200256,0.14676299691200256,0.11356856673955917,41574400
